"game_name","game_name_abbr","index_name",dimension,reversed
"注意指向","AttenOrient","orient_pc",,
"注意指向","AttenOrient","orient_mrt",,
"注意指向","AttenOrient","orient_ies",,
"注意指向","AttenOrient","orient_rcs",,
"注意指向","AttenOrient","orient_lisas",,
"注意指向","AttenOrient","orient_endo_pc",,
"注意指向","AttenOrient","orient_endo_mrt",,
"注意指向","AttenOrient","orient_endo_ies",,
"注意指向","AttenOrient","orient_endo_rcs",,
"注意指向","AttenOrient","orient_endo_lisas",,
"注意指向","AttenOrient","orient_exo_pc",,
"注意指向","AttenOrient","orient_exo_mrt",,
"注意指向","AttenOrient","orient_exo_ies",,
"注意指向","AttenOrient","orient_exo_rcs",,
"注意指向","AttenOrient","orient_exo_lisas",,
"格子卡片","Grid2back","pc",,
"格子卡片","Grid2back","mrt",,
"格子卡片","Grid2back","ies",,
"格子卡片","Grid2back","rcs",,
"格子卡片","Grid2back","lisas",,
"格子卡片","Grid2back","dprime",Working Memory,f
"随机应变","NumLet","pc",,
"随机应变","NumLet","mrt",,
"随机应变","NumLet","switch_cost_pc",,
"随机应变","NumLet","switch_cost_mrt",,
"随机应变","NumLet","switch_cost_ies",Shifting,t
"随机应变","NumLet","switch_cost_rcs",,
"随机应变","NumLet","switch_cost_lisas",,
"随机应变","NumLet","pc_switch",,
"随机应变","NumLet","pc_repeat",,
"随机应变","NumLet","mrt_switch",,
"随机应变","NumLet","mrt_repeat",,
"随机应变","NumLet","ies_switch",,
"随机应变","NumLet","ies_repeat",,
"随机应变","NumLet","rcs_switch",,
"随机应变","NumLet","rcs_repeat",,
"随机应变","NumLet","lisas_switch",,
"随机应变","NumLet","lisas_repeat",,
"方向检测","FiltOrient","k",Attention,f
"方向检测","FiltOrient","k3",,
"方向检测","FiltOrient","k5",,
"方向检测","FiltOrient","k7",,
"方向检测","FiltOrient","k9",,
"远距离联想A","RAT","nc",Thinking,f
"阅读判断","Reading","nc",Reading,f
"视觉记忆测试","VMT","nc",Memory,f
"图形折叠","FR","nc",Quantitative,f
"物体旋转","ObjRot","nc",Quantitative,f
"记忆策略的使用","MSU","nc_score",,
"文字卡片","Verbal3back","pc",,
"文字卡片","Verbal3back","mrt",,
"文字卡片","Verbal3back","ies",,
"文字卡片","Verbal3back","rcs",,
"文字卡片","Verbal3back","lisas",,
"文字卡片","Verbal3back","dprime",Working Memory,f
"察颜观色PRO","FacesPro","pc",,
"察颜观色PRO","FacesPro","mrt",,
"察颜观色PRO","FacesPro","switch_cost_pc",,
"察颜观色PRO","FacesPro","switch_cost_mrt",,
"察颜观色PRO","FacesPro","switch_cost_ies",Shifting,t
"察颜观色PRO","FacesPro","switch_cost_rcs",,
"察颜观色PRO","FacesPro","switch_cost_lisas",,
"察颜观色PRO","FacesPro","pc_switch",,
"察颜观色PRO","FacesPro","pc_repeat",,
"察颜观色PRO","FacesPro","mrt_switch",,
"察颜观色PRO","FacesPro","mrt_repeat",,
