game_name_origin,game_name,game_name_abbr,index_name,cur_version,dimension,reversed,check_result
数字卡片PRO,数字卡片PRO,Digit3back,ies,初版,,,
数字卡片PRO,数字卡片PRO,Digit3back,lisas,初版,,,
数字卡片PRO,数字卡片PRO,Digit3back,mrt,初版,,,
数字卡片PRO,数字卡片PRO,Digit3back,pc,初版,,,
数字卡片PRO,数字卡片PRO,Digit3back,rcs,初版,,,
数字推理A,数字推理,DR,nc,清华大学测评后改版,reasoning,no,target
数字推理B,数字推理,DR,nc,清华大学测评后改版,,,
顺背数PRO,顺背数PRO,FDSPro,max_span,初版,,,
顺背数PRO,顺背数PRO,FDSPro,mean_span_anu,初版,,,
顺背数PRO,顺背数PRO,FDSPro,mean_span_pcu,初版,short term memory,no,target-alt1
顺背数PRO,顺背数PRO,FDSPro,nc,初版,short term memory,no,target-alt2
速算师（中级）,速算师（中级）,CalcMed,nc,北师大测评后改版,math,no,target
塔罗牌,塔罗牌,WxPred,nc,初版,probability learning,no,target
太空飞船PRO,太空飞船PRO,FlkrPro,cong_eff_ies,初版,,,
太空飞船PRO,太空飞船PRO,FlkrPro,cong_eff_lisas,初版,,,
太空飞船PRO,太空飞船PRO,FlkrPro,cong_eff_mrt,初版,inhibition,yes,target
太空飞船PRO,太空飞船PRO,FlkrPro,cong_eff_pc,初版,,,
太空飞船PRO,太空飞船PRO,FlkrPro,cong_eff_rcs,初版,,,
太空飞船PRO,太空飞船PRO,FlkrPro,ies_con,初版,,,
太空飞船PRO,太空飞船PRO,FlkrPro,ies_inc,初版,,,
太空飞船PRO,太空飞船PRO,FlkrPro,lisas_con,初版,,,
太空飞船PRO,太空飞船PRO,FlkrPro,lisas_inc,初版,,,
太空飞船PRO,太空飞船PRO,FlkrPro,mrt,初版,,,
太空飞船PRO,太空飞船PRO,FlkrPro,mrt_con,初版,,,
太空飞船PRO,太空飞船PRO,FlkrPro,mrt_inc,初版,,,
太空飞船PRO,太空飞船PRO,FlkrPro,pc,初版,,,
太空飞船PRO,太空飞船PRO,FlkrPro,pc_con,初版,,,
太空飞船PRO,太空飞船PRO,FlkrPro,pc_inc,初版,,,
太空飞船PRO,太空飞船PRO,FlkrPro,rcs_con,初版,,,
太空飞船PRO,太空飞船PRO,FlkrPro,rcs_inc,初版,,,
图片记忆A,图片记忆,BPS,bps_score,初版,long term memory,no,target
图片记忆B,图片记忆,BPS,bps_score,初版,,,
图片记忆A,图片记忆,BPS,p_sim_foil,初版,,,
图片记忆B,图片记忆,BPS,p_sim_foil,初版,,,
图片记忆A,图片记忆,BPS,p_sim_lure,初版,,,
图片记忆B,图片记忆,BPS,p_sim_lure,初版,,,
图片记忆A,图片记忆,BPS,p_sim_target,初版,,,
图片记忆B,图片记忆,BPS,p_sim_target,初版,,,
图片记忆A,图片记忆,BPS,pc,初版,,,
图片记忆B,图片记忆,BPS,pc,初版,,,
图形推理A,图形推理,NVR,nc,初版,reasoning,no,target
图形推理B,图形推理,NVR,nc,初版,,,
图形折叠A,图形折叠,FR,nc,初版,reasoning,no,target
图形折叠B,图形折叠,FR,nc,初版,,,
位置记忆PRO,位置记忆PRO,SSTMPro,max_span,初版,,,
位置记忆PRO,位置记忆PRO,SSTMPro,mean_span_anu,初版,,,
位置记忆PRO,位置记忆PRO,SSTMPro,mean_span_pcu,初版,short term memory,no,target-alt1
位置记忆PRO,位置记忆PRO,SSTMPro,nc,初版,short term memory,no,target-alt2
文字卡片,文字卡片,Verbal3back,dprime,初版,working memory,no,target
文字卡片,文字卡片,Verbal3back,ies,初版,,,
文字卡片,文字卡片,Verbal3back,lisas,初版,,,
文字卡片,文字卡片,Verbal3back,mrt,初版,,,
文字卡片,文字卡片,Verbal3back,pc,初版,,,
文字卡片,文字卡片,Verbal3back,rcs,初版,,,
文字推理A,文字推理,VR,nc,清华大学测评后改版,reasoning,no,target
文字推理B,文字推理,VR,nc,清华大学测评后改版,,,
我是大厨,我是大厨,MSynWin,score_aud,北师大测评后改版,,,
我是大厨,我是大厨,MSynWin,score_mem,北师大测评后改版,,,
我是大厨,我是大厨,MSynWin,score_total,北师大测评后改版,multitask,no,target
我是大厨,我是大厨,MSynWin,score_vis,北师大测评后改版,,,
小狗回家,小狗回家,Racer,dprime,清华大学测评后改版,multitask,no,target
小狗回家,小狗回家,Racer,mean_score,清华大学测评后改版,multitask,no,target
幸运小球PRO,幸运小球PRO,OCSpanPro,max_span,北师大测评后改版,,,
幸运小球PRO,幸运小球PRO,OCSpanPro,mean_span_anu,北师大测评后改版,,,
幸运小球PRO,幸运小球PRO,OCSpanPro,mean_span_pcu,北师大测评后改版,complex span,no,target-alt1
幸运小球PRO,幸运小球PRO,OCSpanPro,nc,北师大测评后改版,complex span,no,target-alt2
雪花收藏家,雪花收藏家,DirectSrc,nc_cor,初版,attention,no,target
言语记忆A,言语记忆,DRM,fm_bias,初版,,,
言语记忆B,言语记忆,DRM,fm_bias,初版,,,
言语记忆A,言语记忆,DRM,fm_dprime,初版,long term memory,no,target
言语记忆B,言语记忆,DRM,fm_dprime,初版,,,
言语记忆A,言语记忆,DRM,tm_bias,初版,,,
言语记忆B,言语记忆,DRM,tm_bias,初版,,,
言语记忆A,言语记忆,DRM,tm_dprime,初版,long term memory,no,target-stash
言语记忆B,言语记忆,DRM,tm_dprime,初版,,,
眼耳并用,眼耳并用,Dual2back,dprime_aud,弃用,,,
眼耳并用,眼耳并用,Dual2back,dprime_both,弃用,,,
眼耳并用,眼耳并用,Dual2back,dprime_vis,弃用,,,
眼耳并用,眼耳并用,Dual2back,ies_aud,弃用,,,
眼耳并用,眼耳并用,Dual2back,ies_both,弃用,,,
眼耳并用,眼耳并用,Dual2back,ies_vis,弃用,,,
眼耳并用,眼耳并用,Dual2back,lisas_aud,弃用,,,
眼耳并用,眼耳并用,Dual2back,lisas_both,弃用,,,
眼耳并用,眼耳并用,Dual2back,lisas_vis,弃用,,,
眼耳并用,眼耳并用,Dual2back,mrt_aud,弃用,,,
眼耳并用,眼耳并用,Dual2back,mrt_both,弃用,,,
眼耳并用,眼耳并用,Dual2back,mrt_vis,弃用,,,
眼耳并用,眼耳并用,Dual2back,pc_aud,弃用,,,
眼耳并用,眼耳并用,Dual2back,pc_both,弃用,,,
眼耳并用,眼耳并用,Dual2back,pc_vis,弃用,,,
